name,sex,p_birth,p_death,d_birth,d_death,hebrew_speaker
אבון,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,True
אברהם אבן עזרא,male,Tudela,Tudela,1089-01-01,1167-10-15,True
אברהם בן חלפון,male,Yeman,Yeman,1200-06-21,1250-06-21,True
אברהם בן־יצחק,male,Ukraine,Israel,1883-09-13,1950-05-29,True
אברהם גולדפדן,male,Starokostiantyniv,New York City,1840-07-24,1908-09-01,True
אברהם ליסין,male,Minsk,New York City,1872-05-19,1938-05-11,False
אברהם סולודר,male,Ukraine,USA,1890-01-01,1936-01-01,True
אברהם שטרן,male,Suwałki,Tel Aviv,1907-12-23,1942-12-02,True
"אד""ם הכהן",male,Vilnius,Vilnius,1794-01-01,1878-11-19,True
אדגר אלן פו,male,Boston,Baltimore,1809-01-19,1849-10-07,False
אדם מיצקביץ',male,Zavosse,Istanbul,1798-12-24,1855-11-26,False
אדמון רוסטאן,male,Marseille,Paris,1868-04-01,1918-02-12,False
אהרן שמי,male,Israel,Israel,1929-02-02,2010-09-24,True
אובידיוס,male,Sulmona,Constanța,-043-03-21,0017-01-01,False
אוהב בן מאיר הנשיא,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,True
אורי ניסן גנסין,male,Starodub,Warsaw,1879-10-29,1913-06-03,True
איוואן בונין,male,Voronezh,Paris,1870-08-22,1953-08-11,False
אינוקנטי אננסקי,male,Omsk,Saint Petersburg,1855-01-09,1909-12-13,False
"איתמר בן-אב""י",male,Jerusalem,New York City,1882-07-31,1943-08-04,True
אל-חרירי,male,Basra,Basra,1054-01-01,1122-01-01,False
אלכסנדר סרגיביץ' פושקין,male,Moscow,Saint Petersburg,1799-06-06,1837-02-10,False
אלמוני/ת,,,,,,False
אלפרד דה מיסה,male,Paris,Paris,1810-12-11,1857-05-02,False
אלתר לוין,male,Russian Empire,Jerusalem,1883-01-04,1933-04-10,True
אנאקראון,male,Teos,Teos,-570-01-01,-485-01-01,False
אנדרה שנייה,male,Istanbul,Paris,1762-10-30,1794-07-25,False
אסאיאס טגנר,male,Sweden,Sweden,1782-11-13,1846-11-02,False
אפרים לוצטו,male,San Daniele del Friuli,Lausanne,1729-01-01,1792-01-01,True
ג'ון מילטון,male,Cheapside,London,1608-09-09,1674-11-08,False
ג'סי סמפטר,female,New York City,Mandatory Palestine,1883-03-22,1938-11-25,True
גבריאלֶה ד'אנונציו,male,Italy,Italy,1863-03-12,1938-01-03,False
דוד זמושץ',male,Germany,Germany,1789-01-06,1854-11-08,True
דוד פוגל,male,Sataniv,Auschwitz-Birkenau,1891-05-15,1944-10-03,True
דוד פרישמן,male,Zgierz,Berlin,1859-12-31,1922-04-08,True
דונש הלוי בן לברט,male,Fez,Córdoba,0920-01-01,0990-01-01,True
דיוניסיוס סולומוס,male,Zakynthos,Corfu,1798-04-08,1857-02-09,False
דנטה אליגיירי,male,Florence,Ravenna,1265-05-21,1321-09-13,False
הומרוס,male,Smyrna,Ios,-900-01-01,-800-01-01,False
הורטיוס,male,Venosa,Rome,-065-12-08,-027-11-08,False
היינריך היינה,male,Düsseldorf,Paris,1797-12-13,1856-02-17,False
