name,sex,p_birth,p_death,d_birth,d_death,Hebrew Speaker
אבון,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,TRUE
אברהם אבן עזרא,male,Tudela,Tudela,1089-01-01,1167-10-15,TRUE
אברהם בן חלפון,male,Yeman,Yeman,1200-06-21,1250-06-21,TRUE
אברהם בן־יצחק,male,Ukraine,Israel,1883-09-13,1950-20-29,TRUE
אברהם גולדפדן,male,Starokostiantyniv,New York City,1840-07-24,09/01/1908,TRUE
אברהם ליסין,male,Minsk,New York City,1872-05-19,05/11/1938,FALSE
אברהם סולודר,male,Ukraine,USA,1890-01-01,01/01/1936,TRUE
אברהם שטרן,male,Suwałki,Tel Aviv,23/12/1907,12/02/1942,TRUE
"אד""ם הכהן",male,Vilnius,Vilnius,1794-01-01,1878-11-19,TRUE
אדגר אלן פו,male,Boston,Baltimore,1809-01-19,1849-10-07,FALSE
אדם מיצקביץ',male,Zavosse,Istanbul,1798-12-24,1855-11-26,FALSE
אדמון רוסטאן,male,Marseille,Paris,1868-04-01,02/12/1918,FALSE
אהרן שמי,male,Israel,Israel,02/02/1929,24/09/2010,TRUE
אובידיוס,male,Sulmona,Constanța,21/03/-43,0017-01-01,FALSE
אוהב בן מאיר הנשיא,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,TRUE
אורי ניסן גנסין,male,Starodub,Warsaw,1879-10-29,06/03/1913,TRUE
איוואן בונין,male,Voronezh,Paris,1870-08-22,08/11/1953,FALSE
אינוקנטי אננסקי,male,Omsk,Saint Petersburg,01/09/1855,13/12/1909,FALSE
"איתמר בן-אב""י",male,Jerusalem,New York City,1882-07-31,08/04/1943,TRUE
אל-חרירי,male,Basra,Basra,1054-01-01,1122-01-01,FALSE
אלכסנדר סרגיביץ' פושקין,male,Moscow,Saint Petersburg,1799-06-06,1837-02-10,FALSE
אלמוני/ת,,,,,,FALSE
אלפרד דה מיסה,male,Paris,Paris,1810-12-11,1857-05-02,FALSE
אלתר לוין,male,Russian Empire,Jerusalem,1883-01-04,04/10/1933,TRUE
אנאקראון,male,Teos,Teos,-0570-01-01,-0485-01-01,FALSE
אנדרה שנייה,male,Istanbul,Paris,1762-10-30,1794-07-25,FALSE
אסאיאס טגנר,male,Sweden,Sweden,1782-11-13,1846-11-02,FALSE
אפרים לוצטו,male,San Daniele del Friuli,Lausanne,1729-01-01,1792-01-01,TRUE
ג'ון מילטון,male,Cheapside,London,1608-09-09,1674-11-08,FALSE
ג'סי סמפטר,female,New York City,Mandatory Palestine,1883-03-22,25/11/1938,TRUE
גבריאלֶה ד'אנונציו,male,Italy,Italy,1863-03-12,01/03/1938,FALSE
דוד זמושץ',male,Germany,Germany,1789-01-06,11/8/1854  ,TRUE
דוד פוגל,male,Sataniv,Auschwitz-Birkenau,1891-05-15,10/03/1944,TRUE
דוד פרישמן,male,Zgierz,Berlin,1859-12-31,04/08/1922,TRUE
דונש הלוי בן לברט,male,Fez,Córdoba,0920-01-01,0990-01-01,TRUE
דיוניסיוס סולומוס,male,Zakynthos,Corfu,1798-04-08,1857-02-09,FALSE
דנטה אליגיירי,male,Florence,Ravenna,1265-05-21,1321-09-13,FALSE
