,songs_count,id,sex,p_birth,p_death,d_birth,d_death,Hebrew Speaker,sentence_total,sentence_mean,words_total,words_mean
הומרוס,3,195,male,Smyrna$$$$$$$$1 reference$$$$$$stated in$$$$$Freebase Data Dumps,Ios$$$$$$$$1 reference$$$$$$imported from Wikimedia project$$$$$Russian Wikipedia,0000-08-05,0000-08-05,False,9925,3308.3333333333335,210617,70205.66666666667
שאול טשרניחובסקי,277,16,male,Mykhailivka,Jerusalem,1875-08-20,1943-10-14,,8743,31.56317689530686,146398,528.5126353790614
עמנואל הרומי,21,107,male,Rome,Fermo,1260-01-01,1328-01-01,,858,40.857142857142854,101764,4845.9047619047615
שלמה אבן גבירול,627,40,male,M?laga,Valencia,1021-01-01,11/18/1057  ,,2448,3.9043062200956937,96081,153.23923444976077
אברהם אבן עזרא,668,46,male,Tudela,Tudela,1089-01-01,1167-10-15,,6026,9.020958083832335,80577,120.62425149700599
יהודה ליב גורדון,229,2,male,Vilnius,Saint Petersburg,1830-12-07,1892-09-16,,4082,17.82532751091703,75951,331.6637554585153
יהודה הלוי,542,26,male,Tudela,Jerusalem,1079-01-01,1141-01-01,,2790,5.14760147601476,69169,127.61808118081181
ג'ון מילטון,1,397,male,Cheapside$$$$$$$$located in the administrative territorial entity$$$$$London$$$$$$$$country$$$$$Kingdom of England,London,1608-01-01,1674-01-01,False,2221,2221.0,60595,60595.0
חיים נחמן ביאליק,260,6,male,Hrada,Vienna,1873-12-07,1934-07-04,,3881,14.926923076923076,53510,205.80769230769232
שמואל הנגיד,630,32,male,C?rdoba,Granada,0933-06-09,1055-06-09,,2211,3.5095238095238095,47951,76.1126984126984
יהודה קרני,470,332,male,Pinsk,Tel Aviv,1884-01-01,1949-01-03,,2395,5.095744680851064,40109,85.33829787234042
שמעון גינצבורג,91,344,male,Lipnik,New York City,1890-11-18,1944-01-11,,2507,27.54945054945055,37668,413.9340659340659
רבינדראנאת טאגור,43,262,male,India,India,1861-09-01,1941-06-22,False,2796,65.02325581395348,34784,808.9302325581396
יעקב שטיינברג,194,261,male,Bila Tserkva$$$$$$$$country$$$$$Russian Empire,Tel Aviv,1887-09-01,1947-06-22,,2037,10.5,34194,176.2577319587629
משה אבן עזרא,272,11,male,Granada,Granada,1060-01-01,1138-01-01,,494,1.8161764705882353,32471,119.37867647058823
אלמוני/ת,30,141,,,,,,False,2092,69.73333333333333,30057,1001.9
אל-חרירי,1,337,male,Basra,Basra,1054-01-01,1122-01-01,False,5047,5047.0,25136,25136.0
שלום שבזי,135,54,male,Taizz,Taizz,1619-01-10,1720-01-10,,632,4.681481481481481,23556,174.48888888888888
חיים לנסקי,207,385,male,Slonim,Siberia,1905-01-01,1943-01-01,,2394,11.565217391304348,21340,103.09178743961353
מיכה יוסף לבנזון,51,57,male,Vilnius,Vilnius,1828-02-22,1852-02-17,,1298,25.45098039215686,20837,408.5686274509804
אלתר לוין,103,50,male,Russian Empire,Jerusalem,1883-07-06,1933-07-06,,1127,10.941747572815533,20503,199.05825242718447
מאיר הלוי לטריס,60,70,male,Zhovkva,Vienna,1800-08-30,1871-05-19,,1164,19.4,18974,316.23333333333335
פניה ברגשטיין,84,426,female,Szczuczyn,Afula,1908-04-11,1908-04-11,,1739,20.702380952380953,18753,223.25
יהודה אלחריזי,9,34,male,Toledo,Aleppo,1165-01-01,1225-01-01,,3063,340.3333333333333,18313,2034.7777777777778
יעקב לרנר,73,79,male,Ukraine$$$$$$$$place of birth$$$$$Berezhany,Ukraine$$$$$$$$place of death$$$$$Dnipro,1879-01-01,1918-06-12,,990,13.561643835616438,17841,244.3972602739726
יוסף בן שמואל צרפתי,1,160,male,Rome,Florence,1470-05-05,1527-15-03,,1389,1389.0,17245,17245.0
מרדכי צבי מאנה,68,45,male,Rada?kovi?y,Rada?kovi?y,1859-05-05,1886-10-15,,1331,19.573529411764707,15099,222.0441176470588
דוד פוגל,285,206,male,Sataniv,Auschwitz-Birkenau,1891-05-15,1944-03-10,,1528,5.36140350877193,15055,52.824561403508774
דוד פרישמן,39,22,male,Zgierz,Berlin,1859-12-31,1922-08-04,,900,23.076923076923077,13375,342.94871794871796
מתתיהו שוהם,21,24,male,Warsaw,Warsaw,1893-01-01,1937-07-04,,296,14.095238095238095,13102,623.9047619047619
חיים יעקב בן ברוך אונגר,13,224,male,Germany,Germany,1826-03-02,1912-06-11,,900,69.23076923076923,12553,965.6153846153846
היינריך היינה,16,144,male,D?sseldorf$$$$$$$$country$$$$$Holy Roman Empire$$$$$$$$13 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$10 December 2014,Paris$$$$$$$$country$$$$$Second French Empire$$$$$$$$11 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$30 December 2014,1797-12-13,1856-02-17,False,786,49.125,12424,776.5
נפתלי הרץ אימבר,78,31,male,Zolochiv,Manhattan,1856-06-09,1909-10-08,,780,10.0,12304,157.74358974358975
