,ID,title,authors,genre,words_count
0,16,לידידי הרב החכם רב-הפעלים,יהודה ליב גורדון,שירה,36
1,19,הֲלָךְ נֶפֶשׁ,רחל בלובשטיין,שירה,40
2,20,אל הציפור,חיים נחמן ביאליק,שירה,298
3,21, מִשּׁוּט בַּמֶּרְחַקִּים,חיים נחמן ביאליק,שירה,165
4,22,בורגני וחלוץ עני: זמר לעם,קדיש יהודה סילמן,שירה,228
5,23,הִרְהוּרֵי לָיְלָה,חיים נחמן ביאליק,שירה,321
6,24,על אילת השחר,חיים נחמן ביאליק,שירה,275
7,25,בִּתְשׁוּבָתִי,חיים נחמן ביאליק,שירה,73
8,31,[שד הרמון],אברהם שטרן,שירה,32
9,32,[כִּסְעִיף הֲדַס תִּטֶּה צְבִיָּה],משה אבן עזרא,שירה,16
10,35,הַשָּׂב וּשְׁלֹשֶת הַנְּעָרִים,יהודה ליב גורדון,שירה,141
11,36,"לאיס""י",יהודה ליב גורדון,שירה,30
12,38,אהבת דוד ומיכל: שיר ראשון,יהודה ליב גורדון,שירה,747
13,39, הֶחָכָם וְהַמְּשֻגָּע ,יהודה ליב גורדון,שירה,91
14,41,בַּעֲלוֹת הַשַּׁחַר,יהודה ליב גורדון,שירה,321
15,42,"לאיס""י",יהודה ליב גורדון,שירה,58
16,44,עֶשֶׁת בַּרְזֶל וַחֲצֹצְרָה,יהודה ליב גורדון,שירה,59
17,46,[קוֹל רַעַם בַּגַּלְגַּל הִרְגִּיז רָקִיעַ],לאופולד שפר,שירה,39
18,47,לאברהם יעקב סלוצקי,יהודה ליב גורדון,שירה,97
19,48,אחרי מות,יהודה ליב גורדון,שירה,318
20,50,הֲרֵי אַתְּ מְקֻסֶּמֶת לִי ,שאול טשרניחובסקי,שירה,131
21,51,שִׁלְהֵי קַיְטָא  ,יהודה ליב גורדון,שירה,113
22,53,לְיִשְׂרָאֵל מוֹכֵר הַמַּשְׁקֶה,יהודה ליב גורדון,שירה,21
23,54,מִקְרָאֵי צִיּוֹן,חיים נחמן ביאליק,שירה,152
24,55,וְשָׂמַחְתָּ בְחַגֶּךָ,יהודה ליב גורדון,שירה,1111
25,56,תל אביב,יהודה ליב גורדון,שירה,188
26,57,"להנ""ל – בְּמִכְתַּב תַּנְחוּמִים",יהודה ליב גורדון,שירה,26
27,59, בַּת יִפְתָּח בְּטֶרֶם מוּתָהּ ,לורד ביירון,שירה,108
28,60, יַעֲלַת סֶלַע וְהַנֶּשֶׁר,יהודה ליב גורדון,שירה,378
29,61,לְמֵאִיר לֶטֶרִיס,יהודה ליב גורדון,שירה,159
30,62,צְבִי מֻדָּח,יהודה ליב גורדון,שירה,80
31,63,"לחברי בהיכל שירתנו הר""ר מנחם דאליצקי",יהודה ליב גורדון,שירה,102
32,65,מִכְתָּב בַּחֲרוּזִים,יהודה ליב גורדון,שירה,290
33,66,הַשּׁוּעָל וְהַזְּאֵב,יהודה ליב גורדון,שירה,192
34,68,עמנואל סאלאווייציק,יהודה ליב גורדון,שירה,54
35,69,בִּקּוּר חֹלִים,יהודה ליב גורדון,שירה,212
36,70,אל יאשם יהודה,יהודה ליב גורדון,שירה,203
37,71,דִּבְרֵי שְׁכִיב-מְרַע,יהודה ליב גורדון,שירה,74
38,72,"להנ""ל",יהודה ליב גורדון,שירה,35
39,73,אַחֲרוֹן אַחֲרוֹן חָבִיב ,יהודה ליב גורדון,שירה,58
40,75,מכתב מאת יהודה,יהודה ליב גורדון,שירה,360
41,76,"אַחֲרֵי מוֹת שַׁדָּ""ל",יהודה ליב גורדון,שירה,104
42,77,למגיה הספרים,יהודה ליב גורדון,שירה,43
43,78,"הר""ר חיים יונה גורלאנד",יהודה ליב גורדון,שירה,118
44,79,הַזְּאֵב וְהַכֶּלֶב הָרָזֶה,יהודה ליב גורדון,שירה,190
45,81,הַמָּוֶת וְהַהוֹלֵךְ לָמוּת,יהודה ליב גורדון,שירה,371
46,82, נֹאד הֶחָלָב ,יהודה ליב גורדון,שירה,206
47,83,מוֹתַר הָאָדָם,יהודה ליב גורדון,שירה,198
48,84,הַזְּאֵב לִפְנֵי מוֹתוֹ וְהַשּׁוּעָל ,יהודה ליב גורדון,שירה,87
49,85,מַגְבִּיהּ פִּתְחו מְבַקּשׁ שֶׁבֶר,יהודה ליב גורדון,שירה,12
50,86,מכתמים - פְּקֻדַּת עֲקָרָה,יהודה ליב גורדון,שירה,44
51,88,חַנָּה! ,יהודה ליב גורדון,שירה,385
52,89,הַשְׁאָרַת הַנָּפֶשׁ,יהודה ליב גורדון,שירה,194
53,90,"כתובת על מצבת ""משלי יהודה""",יהודה ליב גורדון,שירה,60
54,91,העלמה וצלמה,יהודה ליב גורדון,שירה,262
55,92, חִידוֹת בְּמִלּוֹת יְחִידוֹת ,יהודה ליב גורדון,שירה,118
56,97,מִכְתָּב,מתתיהו שוהם,שירה,103
57,99,[מי יתנני כפר לעפר ישקני],יהודה הלוי,שירה,150
58,101,הַשַּׁחַר נִדְמֹה נִדְמָה,יהודה ליב גורדון,שירה,72
59,102,"בפי השיר השלישי לא בא דבר פגול, ולהורות נתן בלבו, מה יהיה משפט הרופא ומעשהו",אפרים לוצטו,שירה,82
60,107,לתלמידי הבאראן אלפריד גינצבורג,יהודה ליב גורדון,שירה,46
61,115,שִׁיר הַשִּׁירִים,נפתלי הרץ אימבר,שירה,189
62,123,עברה מדבש,שמואל הנגיד,שירה,21
63,124,ואומר היש סמן,שמואל הנגיד,שירה,28
64,126,תחכמוני – שַׁעַר תְּשִׁיעִי,יהודה אלחריזי,שירה,1473
65,129,סנדלים בלים,שמחה בן-ציון,שירה,4462
66,133,[הֲגָנַבְתָּ וְכִחַשְׁתָּ],שלמה אבן גבירול,שירה,30
67,137,אם תבך,שמואל הנגיד,שירה,548
68,139,[ובכן -- הדרור],רחל בלובשטיין,שירה,34
69,142,עלי מה זה צביה,משה אבן עזרא,שירה,16
70,143,בדד במעוני,מרדכי צבי מאנה,שירה,173
71,144,עָבַר עֲלֵי נְוַת אֵל נַחֲלָה,אברהם אבן עזרא,שירה,96
72,145, קִינָה לְתִשְׁעָה בְּאָב ,יהודה ליב גורדון,שירה,376
73,147,נודד וצוק עתו,וידל בנבנשתי,שירה,37
74,148,"אל גרם המעלות העומד על כסא דיין מו""ה משה הלוי עהרענרייך מודינא. אתמול שבת קדש ראש חדש שבט שנת התרי""ח קבלתי שירו היקר. ואני כאדם ביקר, אין בידי מחקר; נדדה שנת עיני, שוטטו רעיוני, אמרתי בחפזי. ",רחל לוצטו מורפורגו,שירה,57
75,149,הַנִּיחוּ לִי וְאֶשְׁתֶּה / אנקריאון ,שאול טשרניחובסקי,שירה,61
76,150,רב לכם מוכיחי בריב,יהודה הלוי,שירה,221
77,152,אדם יפה,שמואל הנגיד,שירה,17
78,154,תלג'יה,אלתר לוין,שירה,1360
79,155,מאורה,אברהם אבן עזרא,שירה,100
80,157,מַה-נָּאווּ עַל הָרִים רַגְלֵי מְבַשֵּׂר,משה אבן עזרא,שירה,137
81,160,איש שעיר ואיש חלק,יהודה ליב גורדון,שירה,116
82,161,יְנֻחָמוּ יְרֻחָמוּ ,משה אבן עזרא,שירה,107
83,166,אחלי תביט בעינך,שלום שבזי,שירה,89
84,174,לנוכח פסל אפולו,שאול טשרניחובסקי,שירה,262
85,175, שָׁלֹש אֲתוֹנוֹת (אַגָּדָה),שאול טשרניחובסקי,שירה,81
86,177,אניה בלב-ים,מיכה יוסף לבנזון,שירה,377
87,180,קינה היא,רחל לוצטו מורפורגו,שירה,116
88,182,[אמר לאשר לבבו רם],שלמה אבן גבירול,שירה,50
89,184,תתמה ידיד,וידל בנבנשתי,שירה,32
90,186,הם מתנערים מעפר,חיים נחמן ביאליק,שירה,118
91,187,[אֲשַׁלַּח בְּכַנְפֵי],שמואל הנגיד,שירה,750
92,189, חֶזְיוֹנוֹת וְשִׁגְיוֹנוֹת,מנחם מנדל דוליצקי,שירה,315
93,190,שירה בפי,שמואל הנגיד,שירה,234
94,194,עציץ פרחים,חיים נחמן ביאליק,שירה,16
95,196,הַטָּבוּעַ,אלכסנדר סרגיביץ' פושקין,שירה,426
96,198,לְיוֹם הֻלֶּדֶת ,נחום סוקולוב,שירה,218
97,205,בֵּית-הַכְּנֶסֶת הַיָּשָׁן בְּתֵאוֹדוֹסְיָה ,שאול טשרניחובסקי,שירה,82
98,207,מחמד,שאול טשרניחובסקי,שירה,166
99,209, צִפֹּרֶת ,חיים נחמן ביאליק,שירה,205
100,213, וְזֹאת בְּיִשְׂרָאֵל כִּי תִּפְרוֹֹץ מִלְחָמָה,שאול טשרניחובסקי,שירה,229
101,214,מות גבורים,טוביה בן משה כץ,שירה,434
102,216,אנכי לא יהיה לך אלוהים,אברהם אבן עזרא,שירה,73
103,217,תקופת תשרי,אלכסנדר סרגיביץ' פושקין,שירה,195
104,221,[חֲבֵרַי שֶׁעֲזַבְתִּים עַל שְׁלשׁה],שמואל הנגיד,שירה,45
105,223, גְּבָרִים בַּחֲמִשָּׁה ,שמואל הנגיד,שירה,15
106,225,[אֲנָשִׁים לְתַגְמוּלִים],שמואל הנגיד,שירה,21
107,226,מדורות אש,אברהם סולודר,שירה,121
108,232,זֹהַר לְרָקִיעַ ,שמואל הנגיד,שירה,36
109,234,אם ימנעו,שמואל הנגיד,שירה,24
110,235, רָחֵל ,שמחה בן-ציון,שירה,3735
111,236,חכם חשוב,שמואל הנגיד,שירה,24
112,237,חכם ומשתמר,שמואל הנגיד,שירה,18
113,240,[מה יפית יפת העין],יהודה הלוי,שירה,78
114,241,הַדֶּקֶל,אלתר לוין,שירה,84
115,243,תופש כנור ועוגב – הקדמה,מאיר הלוי לטריס,שירה,2039
116,244,[שש נגזרו],שלמה אבן גבירול,שירה,48
117,248,זֶמֶר,רחל בלובשטיין,שירה,53
118,249,בַּלַּיְלָה בָּא הַמְבַשֵּׂר,רחל בלובשטיין,שירה,41
119,259,רשות לנשמת,אברהם אבן עזרא,שירה,43
120,260,שירה יתומה,יוסף אבן חסדאי,שירה,414
121,262,[חפצי שללו ימים],משה אבן עזרא,שירה,17
122,264,אֶל לֵב-הָאֶבֶן,שמואל לייב גורדון,שירה,132
123,269,אם רב עוני,משה אבן עזרא,שירה,109
124,270,[אֶרְאֶה יְמֵי הַקֹּר וְהַחֹם],משה אבן עזרא,שירה,18
125,273,זמן רצח,וידל בנבנשתי,שירה,34
126,275,"[הוֹי, דֶּרֶךְ הַחַיִּים!]",רחל בלובשטיין,שירה,54
127,276,לברכו,אברהם אבן עזרא,שירה,65
128,278,באו שתו עמי במל קורה,משה אבן עזרא,שירה,30
129,279,רוֹפְאִים וּרְפָאִים,יהודה ליב גורדון,שירה,70
130,282,שיר נושאי הדגל,ישראל חצקביץ,שירה,110
131,285,שור קוני דלות גברת,שלום שבזי,שירה,354
132,286,קינה על מות ר' מנחם רפאל קראקוביא מויניציאה,משה חיים לוצטו,שירה,1629
133,287,[הנשית מידעי],שלמה אבן גבירול,שירה,53
134,291,לעוטיה,יעקב לרנר,שירה,113
135,294,נֶטַע זָר אַתְּ לְעַמֶּךְ ,שאול טשרניחובסקי,שירה,156
136,297,לְמִרְיָם,שאול טשרניחובסקי,שירה,136
137,299,[רַקַּת יְפַת תֹּאַר],וידל בנבנשתי,שירה,26
138,300,שירים מן העזבון –הַקַּיִץ ,חיים נחמן ביאליק,שירה,421
139,302,הרועה והצאן,חיים נחמן ביאליק,שירה,109
140,304,בשנת ויתר עז אדר,רחל לוצטו מורפורגו,שירה,87
141,306,בְּצֵאתִי מִטֶּלְז,יהודה ליב גורדון,שירה,170
142,307,חשב אשר,שמואל הנגיד,שירה,27
143,308, חֲשוּךְ חֶבְרָה ,שמואל הנגיד,שירה,19
144,309, זָרַע בְּלִי ,שמואל הנגיד,שירה,17
145,310,[חוּס עַל],שמואל הנגיד,שירה,27
146,311,"הלא זה דברי אל ילד שעשועים ומטיב נגן, כי האמת אהובה מאנה לענות מפני ותבז לו, ויהי כאשר זמם לכבות את האהבה, אני תמכתיו בימין צדקי להכין אותה ולסעדה",אפרים לוצטו,שירה,73
147,313,בעלת כשפים,יהודה הלוי,שירה,219
148,314,[שובי נפשי למנוחיכי],יהודה הלוי,שירה,89
149,316,[לכה רעי],שלמה אבן גבירול,שירה,353
150,318,מעשה יונה הנביא – רהיט ליום הכיפורים ,יצחק אבן גיאת,שירה,233
151,319,[תלונה על הזמן -- אל משה אבן-עזרא],יוסף אבן סהל,שירה,280
152,320,קדושה,יוסף אבן אביתור,שירה,189
153,321,תשובה על הזמנה למשתה יין,דונש הלוי בן לברט,שירה,125
154,322,פזמון,יוסף אבן אביתור,שירה,277
155,323,[תאווה לנה],יוסף אבן צדיק,שירה,138
156,324,מוחרך,יוסף אבן צדיק,שירה,142
157,325,רשות,יוסף אבן צדיק,שירה,33
158,326,אל חסדאי אבן-שפרוט,יצחק אבן קפרון,שירה,492
159,327,זמר לשבת,דונש הלוי בן לברט,שירה,86
160,328,[דברי ברכה ליהודה הלוי],יוסף אבן צדיק,שירה,132
161,329,קינה על הפרעות בארץ-ישראל,יוסף אבן אביתור,שירה,158
162,330,אהבה,יוסף אבן ששת,שירה,133
163,331,בקשה,יצחק אבן מר שאול,שירה,215
164,332,"מחברת ""נאום אשר בן יהודה""",שלמה אבן צקבל,שירה,1654
165,333,מאורה,יצחק אבן גיאת,שירה,83
166,334,גמר לשמע ישראל,יצחק אבן גיאת,שירה,95
167,335,תוכחה,יצחק אבן גיאת,שירה,189
168,336,רשות לקדיש,יצחק אבן גיאת,שירה,123
169,337,מחרך,יצחק אבן גיאת,שירה,76
170,338,שיר-פולמוס,יצחק אבן עזרא,שירה,188
171,339,אהבה,יצחק אבן גיאת,שירה,154
172,340,המשורר מודה שהמיר את דתו,יצחק אבן עזרא,שירה,73
173,341,סילוק (קטע),יצחק אבן גיאת,שירה,142
174,342,גאולה,יצחק אבן גיאת,שירה,110
175,343,אהבה,יצחק אבן גיאת,שירה,88
176,344,אופן,יצחק אבן גיאת,שירה,135
177,345,סליחה,יצחק אבן גיאת,שירה,168
178,346,שיר יין –  לכבוד השר יצחק,יצחק אבן עזרא,שירה,110
179,347,רשות (?),יצחק אבן גיאת,שירה,45
180,348,אהבה,יצחק אבן גיאת,שירה,106
181,349,קינה לתשעה באב,יצחק אבן גיאת,שירה,140
182,350,[אין די לחילי],יוסף אבן צדיק,שירה,133
183,351,"מכתמים מתוך ""שקל הקודש""",יוסף קמחי,שירה,152
184,352,שיר תהילה לחסדאי אבן-שפרוט,דונש הלוי בן לברט,שירה,389
185,353,[המנגן],יוסף אבן צדיק,שירה,230
186,354,סליחה,יוסף אבן אביתור,שירה,209
187,355,[זבארה עוזב את מולדתו בחברת עינן הנטש],יוסף אבן זבארה,שירה,536
188,356,[הכובסת העושה שליחות של שד.  –  עינן מתחתן] ,יוסף אבן זבארה,שירה,731
189,357,[מעשה בנכה רגלים],יוסף אבן זבארה,שירה,556
190,358,[השערוריה באורווה],יוסף אבן זבארה,שירה,1098
191,359,[הסעודה בביתו של עינן],יוסף אבן זבארה,שירה,685
192,360,[האשה שלא עמדה במבחן],יוסף אבן זבארה,שירה,984
193,361,[דיוקנו של רשע ועם הארץ],יוסף אבן זבארה,שירה,728
194,362,[האלמנה שהתעללה בגופת בעלה],יוסף אבן זבארה,שירה,360
195,363,[השועל בתוך הכרם],יוסף אבן זבארה,שירה,143
196,364,מוחרך,אבון,שירה,97
197,365,[לכבודו של יצחק אבן-מהאג'ר],יוסף אבן ברזל,שירה,149
198,366,אופן,אוהב בן מאיר הנשיא,שירה,73
199,367,[שירי זרח],יהודה אבן שבתי,שירה,2816
200,368,חידת הנזיר והסוחר,"יצחק בעל ""משלי ערב""",שירה,1017
201,369,[שיר ידידות ליהודה הלוי],שלמה אבן-אלמעלם,שירה,165
202,370,Ille et nefasto,הורטיוס,שירה,192
203,414,מַסָּע בַּחֹרֶף,אלכסנדר סרגיביץ' פושקין,שירה,69
